fen,analysis_url
r2qkbnr/ppp1pppp/2n5/3p1b2/2P2P2/6P1/PP1PP1BP/RNBQK1NR b KQkq - 0 4,https://lichess.org/analysis/r2qkbnr/ppp1pppp/2n5/3p1b2/2P2P2/6P1/PP1PP1BP/RNBQK1NR_b_KQkq_-_0_4
rnb1k1nr/1pqp1ppp/p3p3/6B1/1b1NP3/2NB4/PPP2PPP/R2QK2R b KQkq - 5 7,https://lichess.org/analysis/rnb1k1nr/1pqp1ppp/p3p3/6B1/1b1NP3/2NB4/PPP2PPP/R2QK2R_b_KQkq_-_5_7
r1bq3r/pppp1kpp/2n5/2b1P3/6n1/3p1N2/PPP2PPP/RNBQR1K1 w - - 0 9,https://lichess.org/analysis/r1bq3r/pppp1kpp/2n5/2b1P3/6n1/3p1N2/PPP2PPP/RNBQR1K1_w_-_-_0_9
r2qkbnr/pp3ppp/2n1p1b1/2pp4/3P4/4PNN1/PPP2PPP/R1BQKB1R w KQkq - 2 7,https://lichess.org/analysis/r2qkbnr/pp3ppp/2n1p1b1/2pp4/3P4/4PNN1/PPP2PPP/R1BQKB1R_w_KQkq_-_2_7
rnb2rk1/pp3ppp/1qp2n2/3Pp3/2B5/3PQN2/PPP2KPP/RNB1R3 b - - 5 9,https://lichess.org/analysis/rnb2rk1/pp3ppp/1qp2n2/3Pp3/2B5/3PQN2/PPP2KPP/RNB1R3_b_-_-_5_9
r1bqkb1r/pp3ppp/2p5/n2p3Q/3Pp3/P1N1P2P/1PP2PP1/R1B1KB1R b KQkq - 0 9,https://lichess.org/analysis/r1bqkb1r/pp3ppp/2p5/n2p3Q/3Pp3/P1N1P2P/1PP2PP1/R1B1KB1R_b_KQkq_-_0_9
r1bqk2r/p3b1p1/2N2n1p/2n5/2p5/8/PPPP1PPP/R1BQR1K1 b kq - 0 13,https://lichess.org/analysis/r1bqk2r/p3b1p1/2N2n1p/2n5/2p5/8/PPPP1PPP/R1BQR1K1_b_kq_-_0_13
r1b2rk1/pppp1Npp/2n3qn/2Q1P3/2B5/8/P4PPP/qNB2RK1 w - - 0 12,https://lichess.org/analysis/r1b2rk1/pppp1Npp/2n3qn/2Q1P3/2B5/8/P4PPP/qNB2RK1_w_-_-_0_12
r1b1r1k1/ppp2pp1/1bn4p/1B2n3/7B/5N2/PP3PPP/RN2R1K1 w - - 0 15,https://lichess.org/analysis/r1b1r1k1/ppp2pp1/1bn4p/1B2n3/7B/5N2/PP3PPP/RN2R1K1_w_-_-_0_15
rnbqkb1r/p1pp2pp/8/2Ppp3/3P1P2/8/P3Q1PP/RNB1K1NR b KQkq - 1 11,https://lichess.org/analysis/rnbqkb1r/p1pp2pp/8/2Ppp3/3P1P2/8/P3Q1PP/RNB1K1NR_b_KQkq_-_1_11
8/8/5p2/3N1k2/p1p3R1/6K1/2r5/8 b - - 4 48,https://lichess.org/analysis/8/8/5p2/3N1k2/p1p3R1/6K1/2r5/8_b_-_-_4_48
r1bqkb1r/1p1npppp/p7/2p1N3/5P2/8/PPPP2PP/RNBQ1RK1 b kq - 0 8,https://lichess.org/analysis/r1bqkb1r/1p1npppp/p7/2p1N3/5P2/8/PPPP2PP/RNBQ1RK1_b_kq_-_0_8
rnbq2kr/ppp1n1pp/1b1p4/7Q/3PPR2/8/PPP3PP/RNB3K1 b - - 2 11,https://lichess.org/analysis/rnbq2kr/ppp1n1pp/1b1p4/7Q/3PPR2/8/PPP3PP/RNB3K1_b_-_-_2_11
rnb1kb1r/pp1pqppp/8/2p1N3/4nP2/2PB4/PP1P2PP/RNBQK2R b KQkq - 1 6,https://lichess.org/analysis/rnb1kb1r/pp1pqppp/8/2p1N3/4nP2/2PB4/PP1P2PP/RNBQK2R_b_KQkq_-_1_6
rnbqkb1r/pp2p1pp/2p5/6N1/2BPp3/4P3/PP3PPP/R1BQK2R b KQkq - 1 8,https://lichess.org/analysis/rnbqkb1r/pp2p1pp/2p5/6N1/2BPp3/4P3/PP3PPP/R1BQK2R_b_KQkq_-_1_8
rnb2rk1/pp3pp1/2p1p2p/6b1/2PP2P1/2QB1q2/PP3P1P/R1B1K1R1 b Q - 3 12,https://lichess.org/analysis/rnb2rk1/pp3pp1/2p1p2p/6b1/2PP2P1/2QB1q2/PP3P1P/R1B1K1R1_b_Q_-_3_12
r1bqkb1r/ppp2ppp/4pn2/3P4/4P3/2N2B2/PP3PPP/R1BQK2R b KQkq - 0 9,https://lichess.org/analysis/r1bqkb1r/ppp2ppp/4pn2/3P4/4P3/2N2B2/PP3PPP/R1BQK2R_b_KQkq_-_0_9
rnb1k2r/pp3pp1/1q2pB1p/2bP4/8/2N5/PPP2PPP/1R1QKBNR b Kkq - 0 8,https://lichess.org/analysis/rnb1k2r/pp3pp1/1q2pB1p/2bP4/8/2N5/PPP2PPP/1R1QKBNR_b_Kkq_-_0_8
r2qkb1r/1p2nppp/p2p4/2nPp3/8/N4N1P/PP3PP1/R1BQK2R b KQkq - 2 13,https://lichess.org/analysis/r2qkb1r/1p2nppp/p2p4/2nPp3/8/N4N1P/PP3PP1/R1BQK2R_b_KQkq_-_2_13
rnb1k2r/pp3ppp/1qp1p3/3p4/2P3n1/1P3NP1/P2NP1BP/1RBQ2KR w kq - 3 11,https://lichess.org/analysis/rnb1k2r/pp3ppp/1qp1p3/3p4/2P3n1/1P3NP1/P2NP1BP/1RBQ2KR_w_kq_-_3_11
3R4/2p5/p3k1p1/6Pp/P1r1KP1P/8/8/8 w - - 5 40,https://lichess.org/analysis/3R4/2p5/p3k1p1/6Pp/P1r1KP1P/8/8/8_w_-_-_5_40
