fen,analysis_url,elo,type
2k4r/p4Rpp/3Rp3/8/4B3/2b1P3/r5PP/6K1 b - - 1 22,https://lichess.org/analysis/2k4r/p4Rpp/3Rp3/8/4B3/2b1P3/r5PP/6K1_b_-_-_1_22,833,defensive
3k4/p6r/4R3/1P1pP3/2pPpBp1/2PbP1Q1/5KP1/7q w - - 1 35,https://lichess.org/analysis/3k4/p6r/4R3/1P1pP3/2pPpBp1/2PbP1Q1/5KP1/7q_w_-_-_1_35,1333,defensive
1r1r4/p3RQpk/3N3p/2q5/8/7P/P1P2PP1/6K1 b - - 1 26,https://lichess.org/analysis/1r1r4/p3RQpk/3N3p/2q5/8/7P/P1P2PP1/6K1_b_-_-_1_26,967,offensive
1k6/ppr4p/3QP2P/3p3R/2q5/8/P4PP1/K2R4 w - - 3 35,https://lichess.org/analysis/1k6/ppr4p/3QP2P/3p3R/2q5/8/P4PP1/K2R4_w_-_-_3_35,1067,defensive
5r2/p2R2k1/2B3p1/1pP2p1p/8/P6P/r5P1/6K1 b - - 2 34,https://lichess.org/analysis/5r2/p2R2k1/2B3p1/1pP2p1p/8/P6P/r5P1/6K1_b_-_-_2_34,1133,defensive
8/5p2/5p1p/1p1k1P2/6P1/b1P1K2P/5N2/8 b - - 5 34,https://lichess.org/analysis/8/5p2/5p1p/1p1k1P2/6P1/b1P1K2P/5N2/8_b_-_-_5_34,900,offensive
8/4qp1p/3Pp1pk/8/4Pn2/5P2/PQ3P1P/2R3K1 b - - 0 33,https://lichess.org/analysis/8/4qp1p/3Pp1pk/8/4Pn2/5P2/PQ3P1P/2R3K1_b_-_-_0_33,1600,offensive
6R1/4b2p/2P2p1k/3B4/5P2/2r4b/7P/4B1K1 b - - 12 44,https://lichess.org/analysis/6R1/4b2p/2P2p1k/3B4/5P2/2r4b/7P/4B1K1_b_-_-_12_44,1167,offensive
3k4/p6r/4R3/1P1pP3/2pPpBQ1/2PbP3/5KP1/7q b - - 0 35,https://lichess.org/analysis/3k4/p6r/4R3/1P1pP3/2pPpBQ1/2PbP3/5KP1/7q_b_-_-_0_35,1333,offensive
2r4k/p3p2p/5bp1/2p5/1BR2P2/1P5P/r1P3P1/4R1K1 w - - 0 37,https://lichess.org/analysis/2r4k/p3p2p/5bp1/2p5/1BR2P2/1P5P/r1P3P1/4R1K1_w_-_-_0_37,1367,defensive
5R2/4q1rk/2p1p1p1/3bQ2p/P2P4/4KP2/2B5/8 w - - 10 47,https://lichess.org/analysis/5R2/4q1rk/2p1p1p1/3bQ2p/P2P4/4KP2/2B5/8_w_-_-_10_47,1467,offensive
8/1p2k1Q1/2p1p1P1/3pP3/1q1P4/r7/6P1/B4nK1 b - - 0 37,https://lichess.org/analysis/8/1p2k1Q1/2p1p1P1/3pP3/1q1P4/r7/6P1/B4nK1_b_-_-_0_37,1267,defensive
1k6/ppr1P2p/3Q3P/3p3R/2q5/8/P4PP1/K2R4 b - - 0 35,https://lichess.org/analysis/1k6/ppr1P2p/3Q3P/3p3R/2q5/8/P4PP1/K2R4_b_-_-_0_35,1067,offensive
6b1/6P1/7P/pp6/5P2/2k1K3/8/8 w - - 1 46,https://lichess.org/analysis/6b1/6P1/7P/pp6/5P2/2k1K3/8/8_w_-_-_1_46,1433,offensive
8/1pq2ppk/7p/3p4/Q1n5/2P2N1P/PP3PP1/5K2 b - - 6 28,https://lichess.org/analysis/8/1pq2ppk/7p/3p4/Q1n5/2P2N1P/PP3PP1/5K2_b_-_-_6_28,800,defensive
8/1pq2ppk/7p/3p4/Q7/2P2N1P/Pn3PP1/5K2 w - - 0 29,https://lichess.org/analysis/8/1pq2ppk/7p/3p4/Q7/2P2N1P/Pn3PP1/5K2_w_-_-_0_29,800,offensive
1rb4k/5rp1/p2p1N1p/1p1p3R/5P2/4P3/PP2K1R1/8 w - - 0 26,https://lichess.org/analysis/1rb4k/5rp1/p2p1N1p/1p1p3R/5P2/4P3/PP2K1R1/8_w_-_-_0_26,867,offensive
8/8/p6p/2Bk2p1/1P1P1pP1/2b2P2/5K1P/8 w - - 1 42,https://lichess.org/analysis/8/8/p6p/2Bk2p1/1P1P1pP1/2b2P2/5K1P/8_w_-_-_1_42,1200,defensive
8/p2R1rk1/2B3p1/1pP2p1p/8/P6P/r5P1/6K1 w - - 3 35,https://lichess.org/analysis/8/p2R1rk1/2B3p1/1pP2p1p/8/P6P/r5P1/6K1_w_-_-_3_35,1133,offensive
6k1/p3rp1p/8/2R1n3/8/6PP/4RPBK/1r6 b - - 3 32,https://lichess.org/analysis/6k1/p3rp1p/8/2R1n3/8/6PP/4RPBK/1r6_b_-_-_3_32,1567,offensive
7k/p5p1/6rp/3q4/P1RQ4/1P4PP/8/4R1K1 b - - 0 37,https://lichess.org/analysis/7k/p5p1/6rp/3q4/P1RQ4/1P4PP/8/4R1K1_b_-_-_0_37,1000,offensive
3r2k1/pp4pp/1q6/3rp3/2RP1p2/1P1Q1P2/P4KPP/3R4 b - - 1 26,https://lichess.org/analysis/3r2k1/pp4pp/1q6/3rp3/2RP1p2/1P1Q1P2/P4KPP/3R4_b_-_-_1_26,933,offensive
6k1/p3rp1p/8/2R1n3/8/6PP/4RPB1/1r4K1 w - - 2 32,https://lichess.org/analysis/6k1/p3rp1p/8/2R1n3/8/6PP/4RPB1/1r4K1_w_-_-_2_32,1567,defensive
5Q2/1pp4p/p2pBpp1/3P2k1/1P5P/2q5/5KP1/8 b - - 0 41,https://lichess.org/analysis/5Q2/1pp4p/p2pBpp1/3P2k1/1P5P/2q5/5KP1/8_b_-_-_0_41,1100,defensive
3r2k1/pp4pp/1q6/3rp3/2RP1p2/1P2QP2/P4KPP/3R4 w - - 0 26,https://lichess.org/analysis/3r2k1/pp4pp/1q6/3rp3/2RP1p2/1P2QP2/P4KPP/3R4_w_-_-_0_26,933,defensive
3r4/1p3kpp/2pr1b2/p4Q2/8/8/PPP2PPP/2K1R3 w - - 6 23,https://lichess.org/analysis/3r4/1p3kpp/2pr1b2/p4Q2/8/8/PPP2PPP/2K1R3_w_-_-_6_23,1300,defensive
3r4/1p3kpQ/2pr1b2/p7/8/8/PPP2PPP/2K1R3 b - - 0 23,https://lichess.org/analysis/3r4/1p3kpQ/2pr1b2/p7/8/8/PPP2PPP/2K1R3_b_-_-_0_23,1300,offensive
4rk2/1R3pp1/4p2p/3pP3/5BP1/1P2P3/5PKP/4n3 w - - 3 37,https://lichess.org/analysis/4rk2/1R3pp1/4p2p/3pP3/5BP1/1P2P3/5PKP/4n3_w_-_-_3_37,1233,defensive
k7/1pQ5/q1p5/2Pp2P1/3Pp3/1K2P3/5r2/q6R w - - 0 46,https://lichess.org/analysis/k7/1pQ5/q1p5/2Pp2P1/3Pp3/1K2P3/5r2/q6R_w_-_-_0_46,1400,offensive
6b1/6P1/7P/pp6/1k3P2/4K3/8/8 b - - 0 45,https://lichess.org/analysis/6b1/6P1/7P/pp6/1k3P2/4K3/8/8_b_-_-_0_45,1433,defensive
