fen,analysis_url,elo,type
2k4r/1r1RQ1Rp/2p1pp2/p1B4q/8/8/P1P2PPP/6K1 b - - 0 27,https://lichess.org/analysis/2k4r/1r1RQ1Rp/2p1pp2/p1B4q/8/8/P1P2PPP/6K1_b_-_-_0_27,900,offensive
2r1r1k1/1b1q1ppp/pB1bp3/1p6/8/P2R1P1P/1PP3P1/R2Q2K1 w - - 0 25,https://lichess.org/analysis/2r1r1k1/1b1q1ppp/pB1bp3/1p6/8/P2R1P1P/1PP3P1/R2Q2K1_w_-_-_0_25,1567,offensive
r4rk1/pp3pp1/2ppb1qp/4p3/3bP3/1B1P2QP/PPP2PP1/R1B2R1K w - - 4 15,https://lichess.org/analysis/r4rk1/pp3pp1/2ppb1qp/4p3/3bP3/1B1P2QP/PPP2PP1/R1B2R1K_w_-_-_4_15,1000,offensive
r4r2/1p1k1p1R/p2bp3/1q6/4Q3/6PP/P4P2/5RK1 b - - 9 30,https://lichess.org/analysis/r4r2/1p1k1p1R/p2bp3/1q6/4Q3/6PP/P4P2/5RK1_b_-_-_9_30,1133,defensive
r3r1k1/ppp2pp1/7p/7P/3P1q2/2PQ1N1b/P1B2P2/R3R1K1 b - - 3 21,https://lichess.org/analysis/r3r1k1/ppp2pp1/7p/7P/3P1q2/2PQ1N1b/P1B2P2/R3R1K1_b_-_-_3_21,833,offensive
r1b1k2r/1p3ppp/p2Bp3/2qN3Q/8/P2n4/1PP2PPP/R3R1K1 b kq - 0 15,https://lichess.org/analysis/r1b1k2r/1p3ppp/p2Bp3/2qN3Q/8/P2n4/1PP2PPP/R3R1K1_b_kq_-_0_15,1067,offensive
r4rk1/pbp2p2/1p2p2q/8/3Q4/P2B2P1/1PP2KP1/R6R b - - 2 28,https://lichess.org/analysis/r4rk1/pbp2p2/1p2p2q/8/3Q4/P2B2P1/1PP2KP1/R6R_b_-_-_2_28,1500,offensive
r2qk2r/pp3ppp/2n2n2/2bpp1B1/6b1/P1N1PQ2/1PP2PPP/R3KBNR w KQkq - 2 9,https://lichess.org/analysis/r2qk2r/pp3ppp/2n2n2/2bpp1B1/6b1/P1N1PQ2/1PP2PPP/R3KBNR_w_KQkq_-_2_9,1333,offensive
r1bqk2r/pp3ppp/2n2n2/2bpp1B1/8/P1N1PQ2/1PP2PPP/R3KBNR b KQkq - 1 8,https://lichess.org/analysis/r1bqk2r/pp3ppp/2n2n2/2bpp1B1/8/P1N1PQ2/1PP2PPP/R3KBNR_b_KQkq_-_1_8,1333,defensive
r2qr1kb/pp2pp1p/3pb1NB/8/1nnP4/2NB4/PPQ2PPP/R3K2R w KQ - 1 15,https://lichess.org/analysis/r2qr1kb/pp2pp1p/3pb1NB/8/1nnP4/2NB4/PPQ2PPP/R3K2R_w_KQ_-_1_15,1033,offensive
