fen,analysis_url,elo,type
r1b1k2r/ppp2ppp/5n2/8/1b1Pq3/2N5/PP2NPPP/R2QKB1R w KQkq - 0 11,https://lichess.org/analysis/r1b1k2r/ppp2ppp/5n2/8/1b1Pq3/2N5/PP2NPPP/R2QKB1R_w_KQkq_-_0_11,967,offensive
r2qk2r/pp3pp1/2pbpn1p/3pNb2/3P4/BP1PP3/P1N2PPP/R2QK2R b KQkq - 3 11,https://lichess.org/analysis/r2qk2r/pp3pp1/2pbpn1p/3pNb2/3P4/BP1PP3/P1N2PPP/R2QK2R_b_KQkq_-_3_11,1567,offensive
r2qkb1r/pQRn1ppp/4b3/1N6/6n1/4P3/PP1B1PPP/4KBNR w Kkq - 1 16,https://lichess.org/analysis/r2qkb1r/pQRn1ppp/4b3/1N6/6n1/4P3/PP1B1PPP/4KBNR_w_Kkq_-_1_16,1500,defensive
r1b1k2r/pppn1ppp/5B2/8/1b1Pq3/2N5/PP2NPPP/R2QKB1R b KQkq - 0 10,https://lichess.org/analysis/r1b1k2r/pppn1ppp/5B2/8/1b1Pq3/2N5/PP2NPPP/R2QKB1R_b_KQkq_-_0_10,967,defensive
r1bq3r/pp1nbkpp/2p1pn2/6N1/3P4/8/PPP1QPPP/R1B1KB1R b KQ - 1 9,https://lichess.org/analysis/r1bq3r/pp1nbkpp/2p1pn2/6N1/3P4/8/PPP1QPPP/R1B1KB1R_b_KQ_-_1_9,1033,defensive
r2q1rk1/ppp3pp/3b1n2/3p4/1P4b1/P3PN2/2P1B1PP/R1BQ1RK1 b - - 0 12,https://lichess.org/analysis/r2q1rk1/ppp3pp/3b1n2/3p4/1P4b1/P3PN2/2P1B1PP/R1BQ1RK1_b_-_-_0_12,933,defensive
r1bq2kr/pp1nb1pp/2p1pn2/6N1/3P4/8/PPP1QPPP/R1B1KB1R w KQ - 2 10,https://lichess.org/analysis/r1bq2kr/pp1nb1pp/2p1pn2/6N1/3P4/8/PPP1QPPP/R1B1KB1R_w_KQ_-_2_10,1033,offensive
r3kb1r/pp1q1p1p/n1bp1p2/1Np5/Q7/2N5/PP3PPP/3RKB1R b Kkq - 3 14,https://lichess.org/analysis/r3kb1r/pp1q1p1p/n1bp1p2/1Np5/Q7/2N5/PP3PPP/3RKB1R_b_Kkq_-_3_14,1400,defensive
r1bq1r2/pp2bpkp/2n2np1/2pp4/2P5/1P1B1N2/PBQP1PPP/RN2R1K1 b - - 0 11,https://lichess.org/analysis/r1bq1r2/pp2bpkp/2n2np1/2pp4/2P5/1P1B1N2/PBQP1PPP/RN2R1K1_b_-_-_0_11,1533,offensive
r1bq1rk1/npp1bpp1/3p1n1p/p2Np3/2B1P2B/P2P1N1P/1PP2PP1/R2Q1RK1 b - - 2 11,https://lichess.org/analysis/r1bq1rk1/npp1bpp1/3p1n1p/p2Np3/2B1P2B/P2P1N1P/1PP2PP1/R2Q1RK1_b_-_-_2_11,833,offensive
