fen,analysis_url,elo,type
r1bqk1nr/pp3ppp/2n5/4p3/1b2B3/8/PPPBNPPP/RN1QK2R b KQkq - 0 9,https://lichess.org/analysis/r1bqk1nr/pp3ppp/2n5/4p3/1b2B3/8/PPPBNPPP/RN1QK2R_b_KQkq_-_0_9,933,defensive
rnbqkb1r/pp2p1pp/2p2p2/3nN3/3Pp3/1B6/PPP2PPP/RNBQK2R w KQkq - 0 7,https://lichess.org/analysis/rnbqkb1r/pp2p1pp/2p2p2/3nN3/3Pp3/1B6/PPP2PPP/RNBQK2R_w_KQkq_-_0_7,1167,offensive
rnbqkb1r/pppp2pp/7n/4N3/2B1pp2/8/PPPP2PP/RNBQK2R w KQkq - 2 6,https://lichess.org/analysis/rnbqkb1r/pppp2pp/7n/4N3/2B1pp2/8/PPPP2PP/RNBQK2R_w_KQkq_-_2_6,1500,offensive
rnbq1r1k/pp2n2P/2p1p3/4b2Q/3P4/2N5/PPP2PP1/R3KB1R w KQ - 1 16,https://lichess.org/analysis/rnbq1r1k/pp2n2P/2p1p3/4b2Q/3P4/2N5/PPP2PP1/R3KB1R_w_KQ_-_1_16,800,offensive
r2qkbnr/pQ1n1ppp/4p3/1B3b2/3Pp3/5N2/PP3PPP/RNB1K2R b KQkq - 1 8,https://lichess.org/analysis/r2qkbnr/pQ1n1ppp/4p3/1B3b2/3Pp3/5N2/PP3PPP/RNB1K2R_b_KQkq_-_1_8,1133,defensive
r2qk2r/ppp1b1pp/2n1Qn2/3p4/3P4/8/PPP2PPP/RNB1KB1R w KQkq - 1 9,https://lichess.org/analysis/r2qk2r/ppp1b1pp/2n1Qn2/3p4/3P4/8/PPP2PPP/RNB1KB1R_w_KQkq_-_1_9,1100,defensive
7r/p2p4/3k4/3p2R1/1P4p1/6P1/PP3KP1/4R2r b - - 2 35,https://lichess.org/analysis/7r/p2p4/3k4/3p2R1/1P4p1/6P1/PP3KP1/4R2r_b_-_-_2_35,1067,offensive
2r3k1/p2r1pp1/1pb1p2p/4P3/3n4/7P/PP3KP1/1BRRB3 b - - 4 33,https://lichess.org/analysis/2r3k1/p2r1pp1/1pb1p2p/4P3/3n4/7P/PP3KP1/1BRRB3_b_-_-_4_33,1600,defensive
1rbk1b1r/1p1p1ppp/p2q1nn1/3N4/5P2/3QB3/PPP3PP/R3KB1R w KQ - 2 16,https://lichess.org/analysis/1rbk1b1r/1p1p1ppp/p2q1nn1/3N4/5P2/3QB3/PPP3PP/R3KB1R_w_KQ_-_2_16,867,offensive
rq3rk1/p3bppp/2P1pn2/Q2pN3/2P5/6P1/PP2PP1P/RNB1K2R w KQ - 1 20,https://lichess.org/analysis/rq3rk1/p3bppp/2P1pn2/Q2pN3/2P5/6P1/PP2PP1P/RNB1K2R_w_KQ_-_1_20,1200,defensive
4r1k1/8/ppR4B/8/P2P2r1/2P2p2/5P1P/1R3K2 w - - 0 32,https://lichess.org/analysis/4r1k1/8/ppR4B/8/P2P2r1/2P2p2/5P1P/1R3K2_w_-_-_0_32,1567,defensive
r2r4/pb2qkp1/1p2ppR1/3p3Q/2p5/8/PPP2PPP/R5K1 b - - 3 23,https://lichess.org/analysis/r2r4/pb2qkp1/1p2ppR1/3p3Q/2p5/8/PPP2PPP/R5K1_b_-_-_3_23,1333,defensive
r2qkbnr/3b1ppp/p1n1p3/1pp1P3/2Bp4/N1P2N2/PP1P1PPP/R1BQ1RK1 w kq - 0 9,https://lichess.org/analysis/r2qkbnr/3b1ppp/p1n1p3/1pp1P3/2Bp4/N1P2N2/PP1P1PPP/R1BQ1RK1_w_kq_-_0_9,1367,defensive
rnbqk1nr/ppp2ppp/3b4/3Q4/8/8/PPP1PPPP/RNB1KBNR w KQkq - 0 5,https://lichess.org/analysis/rnbqk1nr/ppp2ppp/3b4/3Q4/8/8/PPP1PPPP/RNB1KBNR_w_KQkq_-_0_5,967,defensive
