PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
054WZ,rnbr2k1/pp3pbp/2p3p1/4N3/2P1n3/2N1P2P/PP2BPP1/R1B2RK1 w - - 1 12,e5f7 e4c3 f7d8 c3e2,1636,74,92,1175,advantage opening short,https://lichess.org/AXSsEWrC#23,Kings_Indian_Defense Kings_Indian_Defense_Semi-Classical_Variation
07SGL,r2qk2r/pp3ppp/5n2/8/2pbPBP1/2Pn2P1/PP4BP/RN1Q1RK1 w kq - 0 15,c3d4 d8d4 f4e3 d4e3,961,80,95,1057,advantage kingsideAttack opening short,https://lichess.org/IbU6drws#29,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
0D0OJ,rn1qkb2/ppp2pp1/4p1p1/3p4/4P1nr/6P1/PPPP1PB1/RNBQ1RK1 w q - 0 9,g3h4 d8h4 d1g4 h4g4,882,78,95,159,advantage opening short,https://lichess.org/0iEHPq8B#17,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
0DIB4,rnb1r1k1/pp2Pp1p/6p1/q3b1B1/2P5/2N5/PP3PPP/R2QKB1R w KQ - 1 12,d1c2 e5c3 c2c3 a5g5,1380,75,95,22905,crushing discoveredAttack opening short,https://lichess.org/WOWEdUv5#23,Kings_Indian_Defense Kings_Indian_Defense_Zinnowitz_Variation
0Iy2h,r1bq1rk1/1p3pbp/1npp1np1/4P3/p1P1P3/2N1B1PP/PP3PB1/R2QNRK1 b - - 0 12,d6e5 d1d8 f8d8 e3b6,1390,76,86,319,advantage capturingDefender opening short,https://lichess.org/Iv006yL0/black#24,Kings_Indian_Defense Kings_Indian_Defense_Fianchetto_Variation
0KCE1,2bq1rk1/4bppp/2n1p3/2npP3/Qp6/2PP1NP1/1P3PBP/2B1RNK1 w - - 1 16,a4c6 c8d7 c6c5 e7c5,1839,74,96,1616,crushing opening short trappedPiece,https://lichess.org/f6eTKUVk#31,French_Defense French_Defense_Kings_Indian_Attack
0Kw0J,r1b2rk1/1pq3p1/p5np/2p2p2/2Pp1b2/1PPB1N1P/P2B1PP1/R2Q1RK1 b - - 0 18,g6e5 d2f4 e5f3 d1f3,1526,74,93,600,crushing hangingPiece opening short,https://lichess.org/7c2f5Gwm/black#36,French_Defense French_Defense_Kings_Indian_Attack
0Mbjw,r1bqr1k1/pppn1pbp/5np1/8/1PP1p3/2N3P1/PB1NPPBP/R2Q1RK1 w - - 1 13,c3e4 f6e4 b2g7 e4d2 d1d2 g8g7,1373,78,93,15941,advantage hangingPiece long opening,https://lichess.org/eO60NKqv#25,Indian_Defense Indian_Defense_Kings_Indian_Variation
0NjuA,rn1qk2r/pbp1bppp/1p2p3/4N3/2P5/6P1/PP1N1nBP/R1BQK2R w KQkq - 0 10,e1f2 d8d4 f2f1 b7g2 f1g2 d4e5,1872,77,93,2051,advantage fork long opening,https://lichess.org/CKnQuq0Q#19,French_Defense French_Defense_Kings_Indian_Attack
0Pvv2,rnbqk2r/1pp1ppbp/1n4p1/p7/P2PP3/2N2P2/1PQ3PP/R1B1KBNR b KQkq - 1 8,d8d4 c3b5 d4b4 c1d2,1693,74,77,210,advantage defensiveMove opening short,https://lichess.org/RsWQRBc7/black#16,Kings_Indian_Defense Kings_Indian_Defense_Other_variations
0b5yf,r1b1k2r/ppqnbpp1/2n1p2p/2ppP3/8/3P1NP1/PPPNQPBP/R1B1R1K1 b kq - 4 10,d7e5 f3e5 c6e5 e2e5 c7e5 e1e5,896,80,93,128,crushing long opening,https://lichess.org/pu0VAb6W/black#20,French_Defense French_Defense_Kings_Indian_Attack
0bTPx,1rb2rk1/1p1n1pbp/pq1p1np1/2pP4/P3P3/2NB1P2/1P1BN1PP/R2Q1RK1 w - - 5 14,a1b1 c5c4 g1h1 c4d3,986,78,95,1438,crushing discoveredAttack opening short,https://lichess.org/YpQQu2ar#27,Kings_Indian_Defense Kings_Indian_Defense_Samisch_Variation
0eBtd,r1b1k2r/1pqn1pbp/p1pp1np1/2P1p1B1/3PP3/2N2N1P/PP1Q1PP1/2KR1B1R b kq - 0 10,d6c5 d4e5 d7e5 f3e5,1548,75,98,1689,crushing opening short,https://lichess.org/gMOnVPKX/black#20,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
0eNky,r1bq1rk1/pp3ppp/2n2n2/2b5/3p4/P1N2NP1/1P2PPBP/R1BQ1RK1 w - - 0 11,c3b5 a7a6 b2b4 c5b6,1859,75,87,319,advantage defensiveMove opening short,https://lichess.org/hpwhNbdU#21,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
0kcQS,r1b1nrk1/pp2ppbp/1qnp2p1/8/2PP4/P1N1BN2/1P2BPPP/R2QK2R b KQ - 2 10,b6b2 c3a4 b2a1 d1a1,1564,78,96,17267,advantage opening short trappedPiece,https://lichess.org/ZNwYq97o/black#20,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
0lV8y,2kr1b1r/1pp2ppp/p1n1qn2/4Nb2/2Np4/3P2P1/PPP1PPBP/R1BQ1RK1 w - - 1 11,c1g5 c6e5 c4e5 e6e5,1099,77,90,709,advantage opening short,https://lichess.org/OZkcO7u1#21,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
